keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category
raksha bandhan wishes with name and photo,C02,https://www.mynamepix.com/raksha-bandhan-wishes-with-name_116,mynamepix.com,TARGETED+CONFIRMED,transactional,tool,1000-3000,EST,9,,winnable,100,https://www.mynamepix.com/raksha-bandhan-wishes-with-name_116|https://www.thefestivalwishes.com/wishes/raksha-bandhan-rakhi-wishes-with-name-edit|https://www.mynameart.com/greeting-cards/raksha-bandhan,rakhi
happy raksha bandhan wishes with name,C02,https://www.mynameart.com/greeting-cards/raksha-bandhan,mynameart.com,TARGETED+CONFIRMED,transactional,tool,800-2500,EST,9,,winnable,100,https://www.mynamepix.com/raksha-bandhan-wishes-with-name_116|https://www.mynameart.com/greeting-cards/raksha-bandhan|https://www.newmynamepix.com/category/happy-raksha-bandhan-wishes-greeting,rakhi
make raksha bandhan card online with name,C02,https://www.mynameart.com/greeting-cards/raksha-bandhan,mynameart.com,TARGETED,transactional,tool,400-1200,EST,9,,winnable,100,https://www.mynameart.com/greeting-cards/raksha-bandhan|https://www.writenamepics.com/category/raksha-bandhan|https://lifekafunda.com/site/subcard/Hindu_Festival/Raksha_Bandhan_Wishes_Card_With_Name_and_Photo,rakhi
rakhi wishes with brother name and photo edit,C02,https://www.thefestivalwishes.com/wishes/raksha-bandhan-rakhi-wishes-with-name-edit,thefestivalwishes.com,TARGETED,transactional,tool,300-900,EST,9,,winnable,80,https://www.thefestivalwishes.com/wishes/raksha-bandhan-rakhi-wishes-with-name-edit|https://www.newmynamepix.com/category/happy-raksha-bandhan-wishes-greeting|https://www.writenamepics.com/category/raksha-bandhan,rakhi
write name on happy raksha bandhan photo,C02,https://www.newmynamepix.com/category/happy-raksha-bandhan-wishes-greeting,newmynamepix.com,TARGETED,transactional,tool,300-900,EST,9,,winnable,80,https://www.newmynamepix.com/category/happy-raksha-bandhan-wishes-greeting|https://www.writenamepics.com/category/raksha-bandhan|https://www.mynamepix.com/raksha-bandhan-wishes-with-name_116,rakhi
rakhi 2026 custom photo wishes card maker online,C02,https://createcustomwishes.com/greetings-card/rakhi-2026-custom-photo-wishes-card-maker-online/,createcustomwishes.com,TARGETED,transactional,tool,200-600,EST,9,,winnable,80,https://createcustomwishes.com/category/all-festival-wishes/hindu-festivals/raksha-bandhan-rakhi/|https://www.mynameart.com/greeting-cards/raksha-bandhan|https://lifekafunda.com/site/subcard/Hindu_Festival/Raksha_Bandhan_Wishes_Card_With_Name_and_Photo,rakhi
personalised raksha bandhan card with name and photo,C02,https://lifekafunda.com/site/subcard/Hindu_Festival/Raksha_Bandhan_Wishes_Card_With_Name_and_Photo,lifekafunda.com,TARGETED,transactional,tool,300-800,EST,9,,winnable,80,https://lifekafunda.com/site/subcard/Hindu_Festival/Raksha_Bandhan_Wishes_Card_With_Name_and_Photo|https://www.mynameart.com/greeting-cards/raksha-bandhan|https://www.mynamepix.com/raksha-bandhan-wishes-with-name_116,rakhi
how to celebrate raksha bandhan online long distance,C05,https://www.igp.com/blog/long-distance-rakhi-celebration-ideas/,igp.com,TARGETED+CONFIRMED,informational,blog,800-2500,EST,6,,winnable,75,https://www.igp.com/blog/long-distance-rakhi-celebration-ideas/|https://nestasia.in/blogs/news/how-to-celebrate-raksha-bandhan-when-you-are-in-different-cities|https://gladful.in/blogs/gifting/how-to-celebrate-rakhi-long-distance-in-2025-virtual-ideas-amp-gifts,rakhi
virtual raksha bandhan celebration ideas,C05,https://www.rakhibazaar.com/blog/virtual-raksha-bandhan-celebration-ideas/,rakhibazaar.com,TARGETED+CONFIRMED,informational,blog,400-1200,EST,6,,winnable,75,https://www.igp.com/blog/long-distance-rakhi-celebration-ideas/|https://www.rakhibazaar.com/blog/virtual-raksha-bandhan-celebration-ideas/|https://www.bablarakhi.com/blog/ideas-to-celebrate-virtual-rakshabandhan/,rakhi
long distance rakhi celebration ideas,C05,https://www.rakhibazaar.com/blog/long-distance-rakhi-celebration-ideas/,rakhibazaar.com,TARGETED,informational,blog,400-1200,EST,6,,winnable,75,https://www.rakhibazaar.com/blog/long-distance-rakhi-celebration-ideas/|https://www.tohfatales.com/blogs/blog/long-distance-rakhi-celebration-ideas|https://www.bablarakhi.com/blog/ideas-to-celebrate-virtual-rakshabandhan/,rakhi
