suggestion,words,prefix_hits,relevance,best_rank,source_prefixes
rakhi kab hai,3,4,1251,1,rakhi | rakhi  | rakhi j | rakhi k
rakhi making,2,3,1259,1,rakhi | rakhi  | rakhi m
rakhi making ideas,3,3,1258,2,rakhi | rakhi  | rakhi m
rakhi making competition,3,3,1257,3,rakhi | rakhi  | rakhi m
rakhi date,2,3,1255,1,rakhi | rakhi  | rakhi d
rakhi drawing,2,3,1254,2,rakhi | rakhi  | rakhi d
rakhi gifts,2,3,1253,1,rakhi | rakhi  | rakhi g
rakhi gift for sister,4,3,1252,2,rakhi | rakhi  | rakhi g
rakhi online,2,3,1251,1,rakhi | rakhi  | rakhi o
rakhi purnima 2026,3,3,1251,1,rakhi | rakhi  | rakhi p
rakhi sawant,2,3,1250,1,rakhi | rakhi  | rakhi s
rakhi 2026 date,3,3,800,1,rakhi | rakhi  | rakhi 2026
rakhi for brother,3,2,1252,1,rakhi f | rakhi for
rakhi in 2026,3,2,1252,2,rakhi i | rakhi in
rakhi with gift,3,2,1252,1,rakhi w | rakhi with
rakhi for kids,3,2,1251,2,rakhi f | rakhi for
rakhi with sweets,3,2,1251,2,rakhi w | rakhi with
rakhi 2026,2,2,1250,1,rakhi | rakhi 
rakhi for sister,3,2,1250,3,rakhi f | rakhi for
rakhi kaise banaen,3,2,1250,2,rakhi  | rakhi k
rakhi purnima 2026 date and time,6,2,1250,2,rakhi | rakhi p
rakhi with gift for brother,5,2,1250,3,rakhi w | rakhi with
rakhi for bhabhi,3,2,1150,4,rakhi f | rakhi for
rakhi in 2025,3,2,751,2,rakhi i | rakhi in
rakhi online amazon,3,2,751,1,rakhi o | rakhi online
rakhi in hindi,3,2,750,3,rakhi i | rakhi in
rakhi online flipkart,3,2,750,2,rakhi o | rakhi online
rakhi in 2026 date,4,2,702,4,rakhi i | rakhi in
rakhi in 2027,3,2,701,5,rakhi i | rakhi in
rakhi for bhaiya bhabhi,4,2,700,5,rakhi f | rakhi for
rakhi in india,3,2,700,6,rakhi i | rakhi in
rakhi with chocolate,3,2,700,4,rakhi w | rakhi with
rakhi in august 2026,4,2,650,7,rakhi i | rakhi in
rakhi for bhai,3,2,601,6,rakhi f | rakhi for
