keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
raksha bandhan wishes in hindi,C01,https://www.igp.com/blog/raksha-bandhan-wishes-in-hindi/,igp.com,TARGETED+CONFIRMED,informational,blog,3000-10000,EST,4,,winnable,48,https://www.joliecarte.com/en/happy-raksha-bandhan-wishes-in-hindi/180031|https://www.floweraura.com/blog/happy-raksha-bandhan-wishes-in-hindi|https://www.igp.com/blog/raksha-bandhan-wishes-in-hindi/,rakhi,new-page,,none,290,seasonal,2027-08-03..2027-08-17,2027-05-25,62
raksha bandhan wishes in gujarati,C02,https://gujaratiwish.com/raksha-bandhan-wishes-in-gujarati/,gujaratiwish.com,TARGETED+CONFIRMED,informational,blog,1000-3000,EST,7,,winnable,60,https://www.joliecarte.com/en/raksha-bandhan-wishes-in-gujarati-text/158522|https://gujaratisuvichar.co.in/raksha-bandhan-wishes-in-gujarati/|https://gujaratiwish.com/raksha-bandhan-wishes-in-gujarati/,rakhi,new-page,,none,130,seasonal,2027-08-03..2027-08-17,2027-06-22,19
raksha bandhan wishes in kannada,C03,https://kannadaquotes.net/raksha-bandhan-wishes-quotes-in-kannada.html,kannadaquotes.net,TARGETED+CONFIRMED,informational,blog,300-1000,EST,8,,winnable,40,https://vismaya24x7.com/tag/raksha-bandhan-wishes-kannada/|https://kannadaquotes.net/raksha-bandhan-wishes-quotes-in-kannada.html|https://www.seminarsonly.com/news/raksha-bandhan-wishes-in-kannada/,rakhi,new-page,,none,43,seasonal,2027-08-03..2027-08-17,2027-06-22,19
raksha bandhan wishes in punjabi,C04,https://www.punjabiwishes.com/120-rakhadi-raksha-bandhan-wishes-messages-in-punjabi-with-images/,punjabiwishes.com,TARGETED+CONFIRMED,informational,blog,300-1000,EST,6,,winnable,40,https://www.punjabiwishes.com/120-rakhadi-raksha-bandhan-wishes-messages-in-punjabi-with-images/|https://www.fnp.com/quotes/raksha-bandhan/punjabi|https://lovesove.com/happy-raksha-bandhan-wishes-messages-in-punjabi-punjabi-rakhi-status/,rakhi,new-page,,none,43,seasonal,2027-08-03..2027-08-17,2027-06-22,4
personalised raksha bandhan website for sibling,C05,https://gift.rayxis.space/blog/personalized-raksha-bandhan-website,rayxis.space,TARGETED+CONFIRMED,transactional,blog,100-300,EST,5,,winnable,45,https://www.canva.com/create/raksha-bandhan-cards/|https://gift.rayxis.space/blog/personalized-raksha-bandhan-website|https://www.123greetings.com/events/rakshabandhan/,rakhi,new-page,,none,10,stable,,2027-06-22,3
raksha bandhan wishes link,C05,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,blog,100-300,EST,5,,winnable,45,https://www.canva.com/create/raksha-bandhan-cards/|https://gift.rayxis.space/blog/personalized-raksha-bandhan-website,rakhi,new-page,,none,10,stable,,2027-06-22,3
raksha bandhan greetings online free,C05,https://www.untumble.com/evite/category/free-raksha-bandhan-greetings-21,untumble.com,TARGETED,transactional,tool,300-1000,EST,4,,medium,32,https://www.canva.com/create/raksha-bandhan-cards/|https://www.drikpanchang.com/festivals/raksha-bandhan/raksha-bandhan-greetings.html|https://www.123greetings.com/events/rakshabandhan/happy/happy55.html,rakhi,new-page,,none,29,seasonal,2027-08-03..2027-08-17,2027-06-22,3
raksha bandhan wishes maker,C06,https://www.mynameart.com/greeting-cards/raksha-bandhan,mynameart.com,TARGETED+CONFIRMED,transactional,tool,300-1000,EST,4,,medium,32,https://www.adobe.com/express/discover/wishes/raksha-bandhan|https://www.canva.com/create/raksha-bandhan-cards/|https://www.postermywall.com/index.php/posters/search,rakhi,new-page,,none,29,seasonal,2027-08-03..2027-08-17,2027-06-22,4
raksha bandhan wishes in telugu,C07,https://www.wishutsav.com/festival/raksha-bandhan-wishes/telugu,wishutsav.com,TARGETED+CONFIRMED,informational,blog,300-1000,EST,4,,medium,24,https://www.etvbharat.com/telugu/telangana/bharat/raksha-bandhan-2023-wishes-and-quotes-telugu-rakhi-festival-wishes-messages-quotes-in-telugu/na20230830130451728728674|https://telugu.latestly.com/lifestyle/festivals-events/raksha-bandhan-wishes-in-telugu-wish-your-relatives-in-the-form-of-photo-greetings-here-143521.html|https://www.wishutsav.com/festival/raksha-bandhan-wishes/telugu,rakhi,new-page,,none,29,seasonal,2027-08-03..2027-08-17,2027-06-22,5
raksha bandhan wishes for younger brother,C08,https://www.floweraura.com/quotes/raksha-bandhan/for-younger-brother,floweraura.com,TARGETED+CONFIRMED,informational,blog,100-300,EST,5,,winnable,30,https://www.giva.co/blogs/tales/60-raksha-bandhan-quotes-and-rakhi-options-for-your-beloved-brother|https://www.damensch.com/blog/happy-raksha-bandhan-wishes-to-make-your-sibling-smile|https://www.floweraura.com/quotes/raksha-bandhan/for-younger-brother,rakhi,new-page,,none,10,seasonal,2027-08-03..2027-08-17,2027-06-22,1
