rank,keyword,category,demand_rank,serp_checked,weak_results,expected_clicks,nearest_existing_post
1,raksha bandhan wishes in hindi,language,7,yes,4,290,0.50 raksha bandhan shayari in hindi for bhai
2,why sister tie rakhi to brother,explainer,5,no,,,0.43 rakhi messages for sister from brother
3,raksha bandhan wishes for brother in gujarati,language,4,no,,,
4,raksha bandhan wishes for brother in kannada,language,4,no,,,
5,raksha bandhan wishes for brother in english,wishes,4,no,,,
6,raksha bandhan wishes for soldiers,wishes,4,no,,,0.50 raksha bandhan wishes with name and photo
7,raksha bandhan wishes maker,product-intent,4,yes,4,29,0.50 raksha bandhan wishes with name and photo
8,raksha bandhan wishes for bhaiya and bhabhi in english,relationship,3,no,,,
9,rakhi without brother quotes,social,3,no,,,0.33 rakhi wishes for cousin brother
10,raksha bandhan greetings online free,product-intent,3,yes,4,29,0.38 make raksha bandhan card online with name
11,raksha bandhan wishes for cousin brother,relationship,3,no,,,0.57 raksha bandhan wishes for long distance brother
12,what raksha bandhan meaning,explainer,3,no,,,0.30 what to do on raksha bandhan if you don't have a brother
13,raksha bandhan best wishes for brother,wishes,3,no,,,0.57 raksha bandhan wishes for long distance brother
14,raksha bandhan wishes link,product-intent,3,yes,5,10,0.50 raksha bandhan wishes with name and photo
15,raksha bandhan card making,product-intent,2,no,,,0.50 personalised raksha bandhan card with name
16,how raksha bandhan started,explainer,2,no,,,0.38 how to celebrate raksha bandhan online long distance
17,raksha bandhan shayari 2 line,social,2,no,,,0.25 raksha bandhan caption for instagram with brother
18,raksha bandhan wishes card,product-intent,2,no,,,0.50 personalised raksha bandhan card with name
19,why raksha bandhan is celebrated,explainer,2,no,,,0.25 raksha bandhan caption for instagram with brother
20,raksha bandhan letter for brother,wishes,2,no,,,0.50 raksha bandhan caption for instagram with brother
21,raksha bandhan par shayari,social,2,no,,,0.29 raksha bandhan caption for instagram with brother
22,how raksha bandhan is celebrated,explainer,2,no,,,0.33 how to celebrate raksha bandhan online long distance
23,raksha bandhan history in hindi,language,2,no,,,0.50 raksha bandhan shayari in hindi for bhai
24,raksha bandhan lines in english,wishes,2,no,,,
25,rakhi card for brother online free,product-intent,2,no,,,0.30 rakhi 2026 custom photo wishes card maker online
26,rakhi for brother online,product-intent,2,no,,,0.40 rakhi wishes for cousin brother
27,raksha bandhan card ideas,product-intent,2,no,,,0.50 personalised raksha bandhan card with name
28,raksha bandhan letter for soldiers in english,wishes,2,no,,,
29,raksha bandhan quotes in english,social,2,no,,,
30,raksha bandhan quotes without sister,social,2,no,,,0.43 happy raksha bandhan replies to sister
31,raksha bandhan template photo,product-intent,2,no,,,0.50 raksha bandhan wishes with name and photo
32,raksha bandhan wishes for younger brother,relationship,2,yes,5,10,0.57 raksha bandhan wishes for long distance brother
33,what is raksha bandhan wishes,explainer,2,no,,,0.43 raksha bandhan wishes with name and photo
34,raksha bandhan letter for brother in gujarati,language,2,no,,,
35,raksha bandhan online photo editor,product-intent,2,no,,,0.43 raksha bandhan wishes with name and photo
36,raksha bandhan template vn,product-intent,2,no,,,0.29 raksha bandhan caption for instagram with brother
37,raksha bandhan video maker online free,product-intent,2,no,,,0.50 raksha bandhan video maker with photo and music
38,raksha bandhan wishes in telugu,language,2,yes,4,29,
39,raksha bandhan wishes shayari,social,2,no,,,0.50 raksha bandhan wishes with name and photo
40,raksha bandhan with quotes,social,2,no,,,0.33 raksha bandhan caption for instagram with brother
41,what to write in raksha bandhan card,product-intent,2,no,,,0.43 personalised raksha bandhan card with name
42,who celebrate raksha bandhan,wishes,2,no,,,0.38 how to celebrate raksha bandhan online long distance
43,why raksha bandhan is celebrated according to hindu mythology,explainer,2,no,,,0.18 raksha bandhan caption for instagram with brother
44,raksha bandhan poster maker,product-intent,2,no,,,0.43 raksha bandhan video maker with photo and music
45,how to raksha bandhan 2026,year-fresh,2,no,,,0.38 how to celebrate raksha bandhan online long distance
46,raksha bandhan template edit,product-intent,2,no,,,0.29 raksha bandhan caption for instagram with brother
47,raksha bandhan wishes general,wishes,2,no,,,0.50 raksha bandhan wishes with name and photo
48,raksha bandhan wishes with emoji,wishes,2,no,,,0.50 raksha bandhan wishes with name and photo
49,raksha bandhan collage maker,product-intent,2,no,,,0.43 raksha bandhan video maker with photo and music
50,raksha bandhan online wishes,product-intent,2,no,,,0.50 raksha bandhan wishes with name and photo
