keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
raksha bandhan wishes in hindi,L01,SERP-VERIFIED,AUTOCOMPLETE,TARGETED+CONFIRMED,informational,blog,300-1000,EST,4,,winnable,21,,language,new-page,,none,290,seasonal,2027-08-03..2027-08-17,2027-06-22,7
why sister tie rakhi to brother,E01,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,5,,explainer,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,5
raksha bandhan wishes for brother in gujarati,L02,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,4,,language,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,4
raksha bandhan wishes for brother in kannada,L03,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,4,,language,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,4
raksha bandhan wishes for brother in english,W01,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,4,,wishes,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,4
raksha bandhan wishes for soldiers,W02,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,4,,wishes,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,4
raksha bandhan wishes maker,P01,SERP-VERIFIED,AUTOCOMPLETE,TARGETED+CONFIRMED,transactional,tool,300-1000,EST,4,,winnable,12,,product-intent,new-page,,none,29,seasonal,2027-08-03..2027-08-17,2027-06-22,4
raksha bandhan wishes for bhaiya and bhabhi in english,R01,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,3,,relationship,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,3
rakhi without brother quotes,S01,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,3,,social,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,3
raksha bandhan greetings online free,P02,SERP-VERIFIED,AUTOCOMPLETE,TARGETED+CONFIRMED,transactional,tool,300-1000,EST,4,,winnable,9,,product-intent,new-page,,none,29,seasonal,2027-08-03..2027-08-17,2027-06-22,3
raksha bandhan wishes for cousin brother,R02,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,3,,relationship,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,3
what raksha bandhan meaning,E02,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,3,,explainer,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,3
raksha bandhan best wishes for brother,W03,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,3,,wishes,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,3
raksha bandhan wishes link,P03,SERP-VERIFIED,AUTOCOMPLETE,TARGETED+CONFIRMED,transactional,tool,300-1000,EST,5,,winnable,9,,product-intent,new-page,,none,10,seasonal,2027-08-03..2027-08-17,2027-06-22,3
how raksha bandhan started,E03,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,explainer,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan shayari 2 line,S02,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,social,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan wishes card,P04,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,transactional,tool,,EST,,,unverified,2,,product-intent,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
why raksha bandhan is celebrated,E04,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,explainer,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan letter for brother,W04,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,wishes,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
raksha bandhan par shayari,S03,AUTOCOMPLETE,AUTOCOMPLETE,AUTOCOMPLETE,informational,blog,,EST,,,unverified,2,,social,new-page,,none,,seasonal,2027-08-03..2027-08-17,2027-06-22,2
