suggestion,words,prefix_hits,relevance,best_rank,source_prefixes
happy birthday in kannada,4,4,1250,1,happy birthday | happy birthday  | happy birthday i | happy birthday in
happy birthday images,3,3,1250,1,happy birthday | happy birthday  | happy birthday i
happy birthday song,3,3,1250,1,happy birthday | happy birthday  | happy birthday s
happy birthday wishes,3,3,1250,1,happy birthday | happy birthday  | happy birthday w
happy birthday sister,3,3,950,2,happy birthday | happy birthday  | happy birthday s
happy birthday to you,4,3,602,1,happy birthday | happy birthday  | happy birthday t
happy birthday wishes for friend,5,3,601,2,happy birthday | happy birthday  | happy birthday w
happy birthday wishes for sister,5,3,601,2,happy birthday | happy birthday  | happy birthday w
happy birthday wishes for brother,5,3,561,4,happy birthday | happy birthday  | happy birthday w
happy birthday wishes for husband,5,3,560,5,happy birthday | happy birthday  | happy birthday w
happy birthday wishes in kannada,5,3,559,6,happy birthday | happy birthday  | happy birthday w
happy birthday wishes for wife,5,3,558,7,happy birthday | happy birthday  | happy birthday w
happy birthday wishes for best friend,6,3,557,8,happy birthday | happy birthday  | happy birthday w
happy birthday wishes for daughter,5,3,555,10,happy birthday | happy birthday  | happy birthday w
happy birthday appa,3,2,1253,1,happy birthday a | happy birthday app
happy birthday appa wishes,4,2,1252,2,happy birthday a | happy birthday app
happy birthday appa in kannada,5,2,1251,3,happy birthday a | happy birthday app
happy birthday bestie,3,2,1251,1,happy birthday b | happy birthday best
happy birthday online photo editing,5,2,1251,1,happy birthday o | happy birthday online
happy birthday best friend,4,2,1250,2,happy birthday b | happy birthday best
happy birthday for best friend,5,2,1000,1,happy birthday f | happy birthday for
happy birthday best friend wishes,5,2,900,3,happy birthday b | happy birthday best
happy birthday brother,3,2,900,1,happy birthday  | happy birthday b
happy birthday bestie wishes,4,2,800,4,happy birthday b | happy birthday best
happy birthday in tamil,4,2,750,2,happy birthday i | happy birthday in
happy birthday card,3,2,603,2,happy birthday c | happy birthday x
happy birthday for husband,4,2,602,2,happy birthday f | happy birthday for
happy birthday for sister,4,2,601,3,happy birthday f | happy birthday for
happy birthday in hindi,4,2,601,3,happy birthday i | happy birthday in
which happy birthday wishes,4,2,601,2,which happy birthday | who happy birthday
happy birthday for best friend girl,6,2,600,4,happy birthday f | happy birthday for
happy birthday in malayalam,4,2,600,4,happy birthday i | happy birthday in
which happy birthday message,4,2,600,3,which happy birthday | who happy birthday
happy birthday in telugu,4,2,560,5,happy birthday i | happy birthday in
which happy birthday to my friend,6,2,560,5,which happy birthday | who happy birthday
happy birthday for brother,4,2,559,6,happy birthday f | happy birthday for
happy birthday in sanskrit,4,2,559,6,happy birthday i | happy birthday in
what's happy birthday in italian,5,2,559,6,how happy birthday | what happy birthday
happy birthday for daughter,4,2,558,7,happy birthday f | happy birthday for
happy birthday in japanese,4,2,558,7,happy birthday i | happy birthday in
what's happy birthday in german,5,2,558,7,how happy birthday | what happy birthday
happy birthday in korean,4,2,557,8,happy birthday i | happy birthday in
what's happy birthday in welsh,5,2,557,8,how happy birthday | what happy birthday
happy birthday in german,4,2,556,9,happy birthday i | happy birthday in
happy birthday wishes in kannada english,6,2,556,9,happy birthday | happy birthday w
what's happy birthday in japanese,5,2,556,9,how happy birthday | what happy birthday
happy birthday in urdu,4,2,555,10,happy birthday i | happy birthday in
what's happy birthday in chinese,5,2,555,10,how happy birthday | what happy birthday
happy birthday in arabic,4,2,554,11,happy birthday i | happy birthday in
what's happy birthday in korean,5,2,554,11,how happy birthday | what happy birthday
happy birthday in marathi,4,2,553,12,happy birthday i | happy birthday in
what's happy birthday in portuguese,5,2,553,12,how happy birthday | what happy birthday
happy birthday in french,4,2,552,13,happy birthday i | happy birthday in
