keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
belated birthday wishes,C01,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,3000-10000,EST,5+,,winnable,429,,birthday,new-page,,none,429,stable,,,
birthday date personality test,C02,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,tool,3000-10000,EST,5+,,winnable,429,,birthday,new-page,,none,429,stable,,,
birthday decoration ideas at home,C03,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,3000-10000,EST,5+,,winnable,429,,birthday,new-page,,none,429,stable,,,
birthday status for whatsapp,C04,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,3000-10000,EST,5+,,winnable,429,,birthday,new-page,,none,429,stable,,,
birthday wishes for nephew,C05,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,3000-10000,EST,5+,,winnable,429,,birthday,new-page,,none,429,stable,,,
birthday wishes in tamil,C06,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,3000-10000,EST,5+,,winnable,429,,birthday,new-page,,none,429,stable,,,
thank you for birthday wishes,C07,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,3000-10000,EST,5+,,winnable,429,,birthday,new-page,,none,429,stable,,,
what to write on a birthday cake,C08,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,3000-10000,EST,5+,,winnable,429,,birthday,new-page,,none,429,stable,,,
birthday wishes in gujarati,C09,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,3000-10000,EST,3-4,,winnable,286,,birthday,new-page,,none,286,stable,,,
birthday wishes in telugu,C10,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,3000-10000,EST,3-4,,winnable,286,,birthday,new-page,,none,286,stable,,,
birthday wishes in hindi,C11,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,10000+,EST,3-4,,medium,240,,birthday,new-page,,none,240,stable,,,
2 line birthday wishes,C12,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday captions for myself,C13,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday songs for whatsapp status,C14,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday surprise ideas for wife at home,C15,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,commercial,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday wishes for daughter in hindi,C16,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday wishes for teacher in hindi,C17,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday wishes for wife in hindi,C18,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday wishes for younger sister,C19,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday wishes in punjabi,C20,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday wishes in urdu,C21,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
birthday wishes reply in hindi,C22,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,5+,,winnable,132,,birthday,new-page,,none,132,stable,,,
50th birthday wishes,C23,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,3-4,,winnable,88,,birthday,new-page,,none,88,stable,,,
birthday number meaning numerology,C24,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,tool,1000-3000,EST,3-4,,winnable,88,,birthday,new-page,,none,88,stable,,,
birthday wishes for mother in law,C25,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,3-4,,winnable,88,,birthday,new-page,,none,88,stable,,,
birthday wishes for niece,C26,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,3-4,,winnable,88,,birthday,new-page,,none,88,stable,,,
birthday wishes for sister in law,C27,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,3-4,,winnable,88,,birthday,new-page,,none,88,stable,,,
birthday wishes for uncle,C28,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,3-4,,winnable,88,,birthday,new-page,,none,88,stable,,,
birthday wishes in bengali,C29,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,3-4,,winnable,88,,birthday,new-page,,none,88,stable,,,
birthday wishes in kannada,C30,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,informational,listicle,1000-3000,EST,3-4,,winnable,88,,birthday,new-page,,none,88,stable,,,
birthday cake with name,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday cake with name and photo,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2,do-not-attempt,0,,birthday,skip,,none,0,,,,
how to write name on birthday cake,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday cake design for husband,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2+G5,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday song with name,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday song with name in hindi,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2,do-not-attempt,0,,birthday,skip,,none,0,,,,
best birthday songs hindi,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday photo frame with name,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2+G3,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday dp for whatsapp,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday photo editing ideas,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday numerology calculator,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G2+G4,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday wishes maker with name and photo,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G3,do-not-attempt,0,,birthday,skip,,none,0,,,,
heart touching birthday wishes for best friend,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G3,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday shayari in hindi,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,G4,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday wishes in marathi,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,rank-30 cut,do-not-attempt,0,,birthday,skip,,none,0,,,,
birthday wishes ka reply kaise de,,AUTOCOMPLETE,suggestqueries.google.com,AUTOCOMPLETE,,,,EST,,rank-30 cut,do-not-attempt,0,,birthday,skip,,none,0,,,,
