keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank,ahrefs_kd,ahrefs_checked
miss you long distance relationship quotes in hindi,miss-you-shayari-hi,,,,,,<100/mo,TOOL,,winnable-now,15,pinterest.com | adhoorealfaaz.com | luvshayri.com,miss-you,new-page,,132,evergreen,3,evergreen,15,Easy (0-10),yes
miss you long distance relationship quotes in tamil,miss-you-tamil,,,,,,">1,000/mo",TOOL,,winnable-now,15,alltamilquotes.com | pinterest.com | kavithai.blog,miss-you,new-page,,66,evergreen,99,evergreen,15,Easy (0-10),yes
miss you long distance relationship quotes,ldr-miss-you,,,,,,>100/mo,TOOL,,medium,27,themilitarywifeandmom.com | pinterest.com | yahoo.com,miss-you,new-page,,44,evergreen,9,evergreen,14,Easy (0-10),yes
miss you message for best friend,miss-you-friend,,,,,,<100/mo,TOOL,,winnable-now,30,womansday.com | lovelydesign.in | pinterest.com,miss-you,new-page,,21,evergreen,2,evergreen,7,Easy (0-10),yes
miss you boyfriend quotes in marathi,miss-you-marathi,,,,,,no Ahrefs row,NO-REC,,winnable-now,10,marathiwrite.com | marathiq.com | mywordshindi.com,miss-you,new-page,,21,evergreen,21,evergreen,7,—,yes
miss you quotes for instagram story,insta-captions,,,,,,no Ahrefs row,NO-REC,,winnable-now,10,pinterest.com | flick.social | womansday.com,miss-you,new-page,,21,evergreen,21,evergreen,4,—,yes
i miss you online message,miss-you-page-tool,,,,,,no Ahrefs row,NO-REC,,own-it-already,30,theknot.com | cardsnacks.com | 123greetings.com,miss-you,improve-existing,https://subhsandesh.in/,8,14,14,year-round,evergreen,4,—,yes
what to do when you miss your girlfriend long distance,cope-missing-partner,,,,,,no Ahrefs row,NO-REC,,medium,18,en.lovebox.love | wikihow.com | markmanson.net,miss-you,new-page,,14,evergreen,14,evergreen,12,—,yes
what can i say other than i miss you,ways-to-say-miss-you,,,,,,no Ahrefs row,NO-REC,,own-it-already,18,languagetool.org | englishgrammar.org | wikihow.com,miss-you,improve-existing,,14,evergreen,14,evergreen,7,—,yes
miss you quotes in kannada,miss-you-kannada,,,,,,<100/mo,TOOL,,own-it-already,6,marriage.com | marriage.com | pinterest.com,miss-you,improve-existing,https://subhsandesh.in/,10,14,1,year-round,evergreen,8,Easy (0-10),yes
open when you miss me ideas,open-when-letters,,,,,,no Ahrefs row,NO-REC,,winnable-now,20,pinterest.com | wattpad.com | openwhen.cards,miss-you,new-page,,5,evergreen,5,evergreen,2,—,yes
miss you status for girlfriend,unthemed,,,,,,<100/mo,TOOL,,medium,6,theknot.com | womansday.com | pinterest.com,miss-you,new-page,,5,evergreen,,evergreen,4,Easy (0-10),yes
miss you long distance relationship status,ldr-miss-you,,,,,,no Ahrefs row,NO-REC,,winnable-now,30,themilitarywifeandmom.com | pinterest.com | yahoo.com,miss-you,cover-on-head-page,,,,,,,—,yes
miss you long distance relationship,ldr-miss-you,,,,,,no Ahrefs row,NO-REC,,medium,27,monlivresms.com | themilitarywifeandmom.com | pinterest.com,miss-you,cover-on-head-page,,,,,,,—,yes
miss you surprise for boyfriend,miss-you-page-tool,,,,,,no Ahrefs row,NO-REC,,own-it-already,25,fnp.com | oyegifts.com | pinterest.com,miss-you,cover-on-existing-page,https://subhsandesh.in/,6,,,,,,—,yes
miss you surprise for girlfriend,miss-you-page-tool,,,,,,no Ahrefs row,NO-REC,,own-it-already,25,fnp.com | oyegifts.com | subhsandesh.in,miss-you,skip — already position 3,https://subhsandesh.in/,3,,,,,,—,yes
