keyword,cluster_id,source_url,source_domain,evidence_type,intent,page_type_required,est_volume,volume_source,weakness_count,gate_failed,bucket,priority_score,ranking_urls,category,action,own_url,own_position,expected_clicks,trend,peak_window,publish_by,demand_rank
"ganesh chaturthi 2026",C01,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE+SERP_CHECKED,informational,blog,10000+,EST,2,,do-not-attempt,10,,date/muhurat,new-page,,none,330 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,2
"happy ganesh chaturthi",C02,GENERATED,google-suggest,GENERATED,informational,blog,10000+,EST,4,,medium,30,,wishes,new-page,,none,880 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,
"happy ganesh chaturthi wishes",C02,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,10000+,EST,5,,winnable,50,,wishes,new-page,,none,1320 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,5
"ganesh chaturthi wishes",C02,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,10000+,EST,5,,winnable,50,,wishes,new-page,,none,1320 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,2
"happy ganesh chaturthi status",C03,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE+SERP_CHECKED,informational,listicle,3000-10000,EST,5,,winnable,40,,status,new-page,,none,430 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi whatsapp status",C03,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,3000-10000,EST,5,,winnable,40,,status,new-page,,none,430 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganesh chaturthi images",C04,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,10000+,EST,3,,medium,30,,images,new-page,,none,240 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"happy ganesh chaturthi images",C04,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,3000-10000,EST,4,,medium,24,,images,new-page,,none,290 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"ganesh chaturthi quotes",C02,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,3000-10000,EST,5,,winnable,40,,wishes,new-page,,none,430 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganesh chaturthi 2026 date",C01,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,3000-10000,EST,2,,do-not-attempt,8,,date/muhurat,new-page,,none,110 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"ganesh chaturthi kab hai 2026",C01,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,3000-10000,EST,3,,medium,24,,date/muhurat,new-page,,none,290 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"ganpati bappa photos",C04,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,3000-10000,EST,3,,medium,24,,images,new-page,,none,78 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,2
"ganesh chaturthi decoration ideas",C05,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,3000-10000,EST,2,,do-not-attempt,8,,decoration,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"ganpati decoration ideas",C05,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,3000-10000,EST,2,,do-not-attempt,8,,decoration,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"happy ganesh chaturthi wishes in marathi",C06,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE+SERP_CHECKED,informational,listicle,3000-10000,EST,7,,winnable,40,,language,new-page,,none,430 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganesh chaturthi quotes in hindi",C07,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,3000-10000,EST,6,,winnable,40,,language,new-page,,none,430 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"happy ganesh chaturthi banner",C08,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,1000-3000,EST,5,,winnable,75,,banner,new-page,,none,130 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"happy ganesh chaturthi poster",C08,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,transactional,tool,1000-3000,EST,5,,winnable,75,,banner,new-page,,none,130 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,3
"ganesh chaturthi songs",C09,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,listicle,1000-3000,EST,2,,do-not-attempt,6,,songs,new-page,,none,9 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
"ganpati aarti",C09,AUTOCOMPLETE,google-suggest,AUTOCOMPLETE,informational,blog,3000-10000,EST,1,,do-not-attempt,8,,songs,new-page,,none,29 EST,seasonal,2026-09-14..2026-09-25,2026-09-10,1
