keyword,words,prefix_hits,relevance,best_rank
"happy ganesh chaturthi in kannada",5,6,1251,1
"happy ganesh chaturthi in hindi",5,6,1250,2
"happy ganesh chaturthi in marathi",5,6,1000,3
"happy ganesh chaturthi wishes",4,5,1250,1
"ganpati bappa",2,4,1250,1
"happy ganesh chaturthi in telugu",5,4,700,4
"happy ganesh chaturthi in marathi text",6,4,601,5
"ganesh chaturthi date",3,3,1254,1
"ganesh chaturthi in 2026",4,3,1253,1
"ganesh chaturthi decoration",3,3,1253,2
"ganesh chaturthi images",3,3,1252,2
"ganpati festival 2026",3,3,1251,1
"happy ganesh chaturthi 2026",4,3,1251,1
"happy ganesh chaturthi date",4,3,1251,1
"happy ganesh chaturthi text",4,3,1251,1
"ganesh chaturthi decoration ideas",4,3,1251,4
"ganesh chaturthi kab hai",4,3,1250,1
"ganpati decoration",2,3,1250,1
"ganpati photos",2,3,1250,1
"ganpati song",2,3,1250,1
"ganpati visarjan 2026",3,3,1250,1
"happy ganesh chaturthi banner",4,3,1250,1
"happy ganesh chaturthi logo",4,3,1250,1
"happy ganesh chaturthi poster",4,3,1250,1
"ganpati festival",2,3,1250,2
"happy ganesh chaturthi drawing",4,3,1250,2
"happy ganesh chaturthi images",4,3,1250,2
"happy ganesh chaturthi text png",5,3,1250,2
"happy ganesh chaturthi png",4,3,1200,2
"ganpati decoration ideas",3,3,1000,2
"happy ganesh chaturthi date 2026",5,3,750,3
"ganesh chaturthi kab hai 2026",5,3,700,2
"ganesh chaturthi 2026 date",4,3,601,1
"happy ganesh chaturthi you and your family",7,3,601,1
"ganpati bappa morya",3,3,601,2
"ganpati dates",2,3,601,3
"ganesh chaturthi 2026 how many days to go",8,3,600,2
"ganesh चतुर्थी कब है",4,3,600,2
"happy ganesh chaturthi in sanskrit",5,3,600,6
"ganesh chaturthi 2026 date and time",6,3,562,3
"ganesh chaturthi 2026 start and end date",7,3,561,4
"ganpati background decoration",3,3,561,4
"happy ganesh chaturthi all of you in hindi",8,3,561,4
"ganpati decoration ideas at home",5,3,560,5
"happy ganesh chaturthi in tamil",5,3,558,7
"happy ganesh chaturthi in english",5,3,557,8
"happy ganesh chaturthi in gujarati",5,3,556,9
"happy ganesh chaturthi in hindi text",6,3,555,10
"happy ganesh chaturthi in marathi translation",6,3,554,11
"ganesh chaturthi in 2025",4,3,552,13
"ganesh chaturthi wishes",3,2,1252,1
"ganesh chaturthi in hindi",4,2,1251,3
"ganesh chaturthi 2026",3,2,1250,1
"ganesh chaturthi for next 5 years",6,2,1250,1
"which ganesh chaturthi is today",5,2,1250,1
"ganpati invitation card",3,2,1250,1
"ganpati online book",3,2,1250,1
"ganesh chaturthi invitation",3,2,1250,4
"ganpati without colour",3,2,1150,1
"ganpati invitation",2,2,1150,2
"ganesh chaturthi in kannada",4,2,1001,4
"ganesh chaturthi in bangalore",4,2,1000,5
"ganpati for ganesh chaturthi",4,2,750,2
"ganesh chaturthi in mumbai",4,2,700,6
"ganpati for car dashboard",4,2,650,3
"ganesh chaturthi in karnataka",4,2,602,7
"what ganesh chaturthi means",4,2,601,1
"ganpati 2026",2,2,601,1
"ganpati 2026 date",3,2,601,1
"happy ganesh chaturthi best wishes",5,2,601,1
"happy ganesh chaturthi for status",5,2,601,1
"happy ganesh chaturthi freepik",4,2,601,1
"happy ganesh chaturthi photo editor online",6,2,601,1
"what is happy ganesh chaturthi",5,2,601,1
"ganesh chaturthi 2025",3,2,601,2
"ganpati in 2026",3,2,601,3
